Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,IYW,QQQM,VOO,IYW,QQQM,VOO,IYW,QQQM,VOO,IYW,QQQM,VOO,IYW,QQQM,VOO
Date,,,,,,,,,,,,,,,
2020-01-02,57.8501091003418,,272.76043701171875,57.8501091003418,,272.7878563528576,57.13618273666398,,270.8592697143216,57.19709810768001,,271.7275953396036,826400,,3142400
2020-01-03,57.27262878417969,,270.767822265625,57.633246715704885,,271.7915147069766,57.065515049234456,,269.6710208899742,57.065515049234456,,269.83553691229275,377200,,3247900
2020-01-06,57.62593078613281,,271.7823486328125,57.647859423504016,,271.84633637320974,56.56600203078208,,269.04030380630394,56.70732611269408,,269.1042915467012,330800,,2777100
2020-01-07,57.647857666015625,,271.0329284667969,57.87202573870374,,271.70929079467305,57.50409831254907,,270.6033402033681,57.711212018239024,,271.2980006872607,289600,,2251800
2020-01-08,58.222904205322266,,272.43121337890625,58.46169139132291,,273.573731729282,57.647863020070595,,270.97793338445007,57.69415929161719,,271.1972879817976,476400,,3719500
2020-01-09,58.88566207885742,,274.314208984375,58.88566207885742,,274.378196736203,58.4787479041816,,273.3727745415037,58.78088944015886,,273.95775759788415,404800,,2168500
2020-01-10,58.78820037841797,,273.5281066894531,59.185366022447305,,274.9905082081645,58.673679196955256,,273.0985185726134,59.13907346902894,,274.88083088361327,480800,,3666800
2020-01-13,59.58497619628906,,275.3378601074219,59.58497619628906,,275.41099692525427,59.03917686505663,,273.729212730911,59.03917686505663,,274.1222324728097,367200,,2728000
2020-01-14,59.234092712402344,,274.9723205566406,59.61176493916777,,275.9503234835605,59.15611927334225,,274.4970427096328,59.538669487521695,,275.01803805128503,523600,,2620100
2020-01-15,59.24141311645508,,275.58465576171875,59.558170046257835,,276.306707486947,59.03186410804373,,274.83515681028234,59.28039612515246,,274.9448341410247,360800,,2822300
2020-01-16,59.982139587402344,,277.88800048828125,59.99919767378437,,277.8971495649055,59.548422497426515,,276.681493901991,59.638576045506596,,276.8917274096636,334800,,2582600
2020-01-17,60.36225509643555,,278.8294372558594,60.39880654782852,,278.95741275557697,59.940721793151965,,278.0433976782566,60.29646917629037,,278.56436507324906,296800,,2218000
2020-01-21,60.32082748413086,,278.25360107421875,60.61078520218574,,278.97568078972836,60.14052039208094,,277.86058128855296,60.14052039208094,,277.93369022100364,288800,,2757900
2020-01-22,60.52794647216797,,278.32672119140625,60.92755113304166,,279.61548571000066,60.47190165729241,,278.15305610704445,60.70825357991674,,279.05792204612203,359600,,2765300
2020-01-23,60.79841613769531,,278.60089111328125,60.82034477952063,,278.7471368506327,60.35982471129251,,276.63576457462983,60.59617665446571,,277.71429550738446,225600,,2673100
2020-01-24,60.46702575683594,,276.0599670410156,61.35638855379786,,279.2498706696914,60.24529294710201,,274.94486755375107,61.28572836987162,,279.1584914786496,566000,,3448200
2020-01-27,59.0342903137207,,271.6727600097656,59.37054427317576,,273.04378287068863,58.705345899646986,,270.9598292378269,58.990433041432645,,271.31628067703053,970400,,4302000
2020-01-28,60.11615753173828,,274.61578369140625,60.25748162898157,,275.31956511204925,59.370554036403504,,272.5775204536968,59.5338067733969,,273.01625764070064,483600,,3562500
2020-01-29,60.29890060424805,,274.3415832519531,60.66926705711525,,275.97767783211077,60.05280387301547,,274.13137766409073,60.62784505589662,,275.83143209204144,365600,,2739400
2020-01-30,60.544986724853516,,275.20074462890625,60.5498609941364,,275.3835587674673,59.75065185873454,,271.7366203258792,60.06984771416919,,272.41301032373815,802000,,4432700
2020-01-31,59.017250061035156,,270.26513671875,60.425613150315854,,274.7529543658567,58.82232012896609,,269.3785409246205,60.425613150315854,,274.6067085974558,672000,,6184700
2020-02-03,59.87492752075195,,272.230224609375,59.91391424536198,,273.90288768193955,59.12201452686687,,271.48987468988713,59.12201452686687,,271.57213269277196,330400,,3205200
2020-02-04,61.25162887573242,,276.42559814453125,61.25162887573242,,277.15682700864915,60.467038550651246,,275.26480893300095,60.70582577889961,,275.5755707401777,342400,,2292800
2020-02-05,61.522090911865234,,279.551513671875,62.21652392716333,,279.76171928531636,61.14197586458943,,277.74175379850874,62.21652392716333,,279.1401957345334,586800,,3049900
2020-02-06,62.18971633911133,,280.5021057128906,62.18971633911133,,280.67574291878395,61.52452156285204,,279.51495379055086,61.77549258109585,,280.41981980808976,440000,,1925500
2020-02-07,61.721893310546875,,279.0762023925781,62.18241339190646,,280.2278702792335,61.53914718749974,,278.5369368613655,61.90951370457615,,279.53320991667624,348000,,2249000
2020-02-10,62.5673942565918,,281.07781982421875,62.5673942565918,,281.1143882262178,61.34908686205114,,278.1804085433308,61.414876502390484,,278.2169769453298,267200,,2246900
2020-02-11,62.40657043457031,,281.5897521972656,63.06445933502574,,283.06133097350863,62.19702143532439,,281.1601639960237,63.01816306386997,,282.3666705901745,516000,,2438800
2020-02-12,63.08395004272461,,283.3994445800781,63.098569135340455,,283.591379890032,62.518653675053436,,282.58598586126044,62.81348939337395,,282.9424371511748,847600,,2115800
2020-02-13,62.881710052490234,,283.1253662109375,63.188718412622144,,284.00281302043373,62.508908344078066,,281.8457225757387,62.59906188776589,,282.0651051982611,451600,,2043400
